Agent Name,Rating,Review Text,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Zepto,4.5,Purpose boy job cup decision girl now get job yard.,58,Delhi,Essentials,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,2.1,Prevent production able both the box school way issue grow action figure one.,25,Lucknow,Grocery,Negative,Low,No,Out of Stock,2,Correct
JioMart,4.5,Family station listen agreement more kitchen lose hour hour.,54,Ahmedabad,Essentials,Neutral,Low,No,Out of Stock,3,Correct
JioMart,2.6,World north people area everything enter beyond Democrat beautiful very.,22,Chennai,Essentials,Neutral,Low,Yes,In Stock,1,Incorrect
Zepto,3.6,Hand way yourself tax whether sister anyone effect fact hospital dream party.,34,Pune,Pharmacy,Positive,High,No,In Stock,2,Incorrect
Blinkit,1.9,Receive establish toward wonder writer thus teacher this job training pull professional buy.,43,Lucknow,Electronics,Positive,Medium,Yes,Out of Stock,3,Correct
Blinkit,3.3,Check public Democrat them between property write.,46,Lucknow,Essentials,Negative,High,Yes,In Stock,3,Incorrect
Blinkit,1.5,Prove movement event identify company force machine himself experience.,20,Jaipur,Food,Negative,Medium,Yes,Out of Stock,3,Correct
Zepto,2.8,Suddenly enjoy memory maintain guess good senior service important likely daughter drive hard.,10,Jaipur,Essentials,Positive,High,No,In Stock,4,Incorrect
JioMart,2.5,Drive process accept owner statement role camera although stock rise he reason blood.,32,Delhi,Food,Negative,Low,Yes,In Stock,3,Incorrect
Zepto,2.5,Plant quite support grow hope politics under film involve.,17,Ahmedabad,Essentials,Negative,High,No,Out of Stock,3,Incorrect
Swiggy Instamart,2.9,Official Democrat good recognize less perhaps.,59,Jaipur,Pharmacy,Positive,High,No,In Stock,1,Correct
JioMart,4.6,Sure audience ground need give particularly situation carry.,15,Delhi,Food,Neutral,High,No,Out of Stock,2,Incorrect
JioMart,2.6,Create eat walk reveal nice career teach language model probably computer.,24,Delhi,Essentials,Negative,High,Yes,Out of Stock,3,Incorrect
Blinkit,3.6,Build late customer position dog our anything either including society nation.,59,Jaipur,Pharmacy,Negative,High,Yes,Out of Stock,5,Incorrect
Zepto,1.8,Occur memory thank reason campaign certainly class.,49,Delhi,Grocery,Negative,Medium,No,In Stock,5,Incorrect
Zepto,3.8,Statement without part deep improve week least these ask provide trial force compare.,15,Pune,Grocery,Neutral,Medium,Yes,In Stock,5,Correct
Zepto,2.0,Opportunity technology say hot together since decide listen after reflect success city from.,54,Mumbai,Food,Positive,Low,No,Out of Stock,1,Correct
JioMart,4.7,Individual politics price necessary Republican factor continue senior every.,51,Kolkata,Essentials,Negative,High,Yes,Out of Stock,5,Incorrect
Blinkit,3.6,Animal to who book research us condition skin baby watch enjoy today.,12,Hyderabad,Pharmacy,Negative,Medium,Yes,In Stock,5,Correct
Zepto,2.3,Animal partner crime rock full office national federal heart serve day.,58,Delhi,Electronics,Positive,Medium,Yes,In Stock,1,Incorrect
Swiggy Instamart,3.8,Admit read cause do word help.,51,Bangalore,Grocery,Negative,Medium,No,Out of Stock,2,Correct
JioMart,1.9,Low far general easy mind will from.,32,Jaipur,Essentials,Neutral,Medium,Yes,Out of Stock,2,Incorrect
Zepto,2.2,Nor color wear pay way same economy above prevent.,12,Hyderabad,Essentials,Positive,Low,Yes,In Stock,5,Correct
JioMart,1.1,Lead shoulder town major start successful stand catch people feel person.,58,Mumbai,Food,Neutral,Medium,No,Out of Stock,4,Correct
Blinkit,1.3,Increase young ball probably yet set onto size computer plan hear.,33,Ahmedabad,Essentials,Negative,Medium,Yes,In Stock,3,Incorrect
Swiggy Instamart,4.6,Discuss reveal magazine news commercial wear Democrat interesting first behavior along more college.,14,Hyderabad,Essentials,Neutral,Medium,No,Out of Stock,5,Incorrect
Blinkit,4.8,Lawyer certain do response nearly body.,53,Delhi,Food,Positive,High,No,Out of Stock,4,Correct
Zepto,2.2,Street wide support begin better many situation.,60,Bangalore,Food,Negative,High,No,In Stock,5,Correct
Blinkit,2.4,Discover deal more worker bar generation dog medical.,55,Lucknow,Food,Positive,Medium,Yes,In Stock,2,Correct
Zepto,3.8,Always style reflect yeah parent ten such.,53,Ahmedabad,Pharmacy,Negative,Low,No,In Stock,5,Incorrect
Swiggy Instamart,1.5,Simply together edge week able just control car focus reason.,54,Chennai,Pharmacy,Negative,Low,No,Out of Stock,4,Correct
Blinkit,1.6,Entire official along must lead rest sit rock yet those player.,10,Pune,Grocery,Negative,High,Yes,In Stock,4,Correct
Zepto,4.7,Call decision since compare popular mother sing.,38,Lucknow,Grocery,Positive,Medium,No,Out of Stock,2,Correct
JioMart,1.8,Among early affect environmental house off unit bring.,48,Chennai,Grocery,Positive,Low,Yes,Out of Stock,5,Incorrect
Zepto,2.4,Available pick usually evening news give appear likely change reveal work.,10,Delhi,Food,Positive,High,Yes,Out of Stock,4,Correct
JioMart,3.4,Anyone century pattern claim half possible culture involve seem wait language age source.,37,Delhi,Essentials,Neutral,Low,No,In Stock,4,Incorrect
Blinkit,2.4,This degree than through seat thought report all.,47,Jaipur,Pharmacy,Positive,Low,No,In Stock,1,Correct
Zepto,2.5,Party compare do lot return number need amount final mean key.,41,Hyderabad,Grocery,Positive,High,No,In Stock,1,Incorrect
Swiggy Instamart,3.1,Discussion series ball paper seem gas.,39,Hyderabad,Food,Negative,Low,No,In Stock,5,Correct
JioMart,4.3,Talk audience city paper nearly movie money herself.,19,Pune,Electronics,Neutral,Low,No,Out of Stock,3,Correct
